scanned 2220000 witnesses, min_distance=3, 59720141056 insertions, 256510999072 prunes
scanned 2240000 witnesses, min_distance=3, 60227575336 insertions, 258692537608 prunes
scanned 2260000 witnesses, min_distance=3, 60732128544 insertions, 260865066304 prunes
scanned 2280000 witnesses, min_distance=3, 61240478868 insertions, 263049827876 prunes
scanned 2300000 witnesses, min_distance=3, 61746710064 insertions, 265227373712 prunes
scanned 2320000 witnesses, min_distance=3, 62297360240 insertions, 267496088944 prunes
scanned 2340000 witnesses, min_distance=3, 62828707712 insertions, 269730516992 prunes
scanned 2360000 witnesses, min_distance=3, 63448667928 insertions, 271985590280 prunes
scanned 2380000 witnesses, min_distance=3, 64066294288 insertions, 274237645264 prunes
scanned 2400000 witnesses, min_distance=3, 64689624832 insertions, 276484489216 prunes
scanned 2420000 witnesses, min_distance=3, 65302765640 insertions, 278733705336 prunes
scanned 2440000 witnesses, min_distance=3, 65887264088 insertions, 280988324600 prunes
scanned 2460000 witnesses, min_distance=3, 66455128660 insertions, 283233302084 prunes
scanned 2480000 witnesses, min_distance=3, 66956868324 insertions, 285440323092 prunes
scanned 2500000 witnesses, min_distance=3, 67469437952 insertions, 287652601152 prunes
scanned 2520000 witnesses, min_distance=3, 68055855520 insertions, 289898611360 prunes
scanned 2540000 witnesses, min_distance=3, 68619457088 insertions, 292131024224 prunes
scanned 2560000 witnesses, min_distance=3, 69123640640 insertions, 294329294912 prunes
scanned 2580000 witnesses, min_distance=3, 69652531252 insertions, 296534096692 prunes
scanned 2600000 witnesses, min_distance=3, 70213173272 insertions, 298747347576 prunes
scanned 2620000 witnesses, min_distance=3, 70747361796 insertions, 300942697844 prunes
scanned 2640000 witnesses, min_distance=3, 71233826884 insertions, 303107596132 prunes
scanned 2660000 witnesses, min_distance=3, 71742460752 insertions, 305284113680 prunes
scanned 2680000 witnesses, min_distance=3, 72306474848 insertions, 307489376096 prunes
scanned 2700000 witnesses, min_distance=3, 72835838800 insertions, 309672152368 prunes
scanned 2720000 witnesses, min_distance=3, 73324081696 insertions, 311829268256 prunes
scanned 2740000 witnesses, min_distance=3, 73823907760 insertions, 314031924592 prunes
scanned 2760000 witnesses, min_distance=3, 74322524852 insertions, 316223247876 prunes
scanned 2780000 witnesses, min_distance=3, 74838650096 insertions, 318408470448 prunes
scanned 2800000 witnesses, min_distance=3, 75361607168 insertions, 320593120720 prunes
scanned 2820000 witnesses, min_distance=3, 75879252896 insertions, 322782850016 prunes
scanned 2840000 witnesses, min_distance=3, 76401914464 insertions, 324969551920 prunes
scanned 2860000 witnesses, min_distance=3, 76918406144 insertions, 327154162624 prunes
scanned 2880000 witnesses, min_distance=3, 77440433280 insertions, 329339150592 prunes
scanned 2900000 witnesses, min_distance=3, 77958782992 insertions, 331528200720 prunes
scanned 2920000 witnesses, min_distance=3, 78472403168 insertions, 333699659272 prunes
scanned 2940000 witnesses, min_distance=3, 78969960512 insertions, 335841423296 prunes
scanned 2960000 witnesses, min_distance=3, 79472166064 insertions, 337986378768 prunes
scanned 2980000 witnesses, min_distance=3, 79970478176 insertions, 340132532064 prunes
scanned 3000000 witnesses, min_distance=3, 80473067736 insertions, 342278047944 prunes
scanned 3020000 witnesses, min_distance=3, 80970210160 insertions, 344418938480 prunes
scanned 3040000 witnesses, min_distance=3, 81472616272 insertions, 346564491904 prunes
scanned 3060000 witnesses, min_distance=3, 81970076464 insertions, 348709461328 prunes
DONE witnesses=3068928 min_distance=3 insertions=82176319488 prunes=349654692096 (no distance-1 extension)
