# p31mv_majority: settled base states, one per line.
# base_state<TAB>seconds<TAB>base_mask<TAB>break -- every one RESULT UNSAT (no witness).
# host p31_minus1v.bits, base {0 1 2 3 12}, base_states 8031.
# This file IS the record: done/ is resumption state and untracked.
# Written by sweep_snapshot.sh; rebuild done/ with sweep_rehydrate.sh p31mv_majority.
235	200.294	947	0 2
236	53.911	947	0 2
237	92.630	947	0 2
238	137.739	947	0 2
239	92.528	947	0 2
240	153.075	947	0 2
241	194.008	947	0 2
242	141.929	947	0 2
243	111.968	947	0 2
244	91.149	947	0 2
245	128.920	947	0 2
246	100.166	947	0 2
247	44.315	947	0 2
248	48.766	947	0 2
249	131.914	947	0 2
250	86.942	947	0 2
251	207.097	947	0 2
252	211.006	947	0 2
253	117.578	947	0 2
254	19.180	947	0 2
255	161.470	947	0 2
256	184.610	947	0 2
257	137.507	947	0 2
258	75.074	947	0 2
259	48.694	947	0 2
260	222.541	947	0 2
261	104.142	947	
262	95.885	947	0 2
263	102.726	947	0 2
264	102.439	947	0 2
265	139.233	947	
266	159.209	947	
267	163.041	947	0 2
268	211.395	947	0 2
269	167.372	947	0 2
270	113.658	947	0 2
271	148.216	947	0 2
272	226.173	947	0 2
273	85.008	947	0 2
274	94.188	947	0 2
275	105.782	947	0 2
276	76.057	947	0 2
277	89.882	947	0 2
278	123.088	947	0 2
279	70.203	947	0 2
280	179.715	947	0 2
281	145.503	947	0 2
282	139.668	947	0 2
283	116.518	947	0 2
284	125.395	947	
285	135.237	947	0 2
286	198.959	947	0 2
287	140.793	947	0 2
288	87.235	947	0 2
289	88.948	947	0 2
290	87.855	947	0 2
291	135.734	947	0 2
292	104.890	947	0 2
293	110.974	947	0 2
294	52.707	947	0 2
295	41.948	947	0 2
296	159.350	947	0 2
297	106.579	947	0 2
298	60.350	947	0 2
299	169.541	947	0 2
300	46.822	947	0 2
301	102.158	947	
302	156.168	947	0 2
303	156.878	947	0 2
304	133.851	947	0 2
305	100.306	947	0 2
306	163.421	947	0 2
307	163.348	947	0 2
308	110.389	947	0 2
309	102.387	947	0 2
310	135.884	947	
311	111.874	947	0 2
312	58.284	947	0 2
313	128.303	947	0 2
314	179.678	947	0 2
315	161.632	947	0 2
316	91.615	947	0 2
317	150.214	947	0 2
318	222.665	947	0 2
319	85.293	947	0 2
320	149.776	947	0 2
321	157.928	947	0 2
322	96.254	947	0 2
323	136.302	947	0 2
324	142.511	947	0 2
325	213.546	947	
326	187.878	947	0 2
327	116.636	947	0 2
328	100.224	947	0 2
329	119.671	947	0 2
330	212.026	947	0 2
331	174.765	947	0 2
332	218.981	947	0 2
333	337.445	947	0 2
334	156.495	947	0 2
335	171.162	947	0 2
336	105.255	947	0 2
337	89.501	947	0 2
338	206.664	947	
339	151.242	947	0 2
340	136.170	947	0 2
341	179.438	947	0 2
342	120.606	947	0 2
343	154.701	947	0 2
344	42.906	947	0 2
345	86.368	947	
346	74.054	947	0 2
347	47.637	947	0 2
348	153.168	947	0 2
349	86.936	947	0 2
350	198.639	947	0 2
351	35.608	947	0 2
352	126.780	947	0 2
353	71.791	947	0 2
354	110.120	947	0 2
355	207.276	947	0 2
356	230.558	947	0 2
357	131.951	947	0 2
